seq_no,qid,correct
Q1-1,seedev_train_881,No
Q1-2,seedev_train_881,No
Q1-3,seedev_train_881,Yes
Q1-4,seedev_train_881,No
Q1-5,seedev_train_881,Yes
Q2-1,seedev_train_885,Yes
Q2-2,seedev_train_885,Yes
Q2-3,seedev_train_885,Yes
Q2-4,seedev_train_885,Yes
Q2-5,seedev_train_885,No
Q3-1,seedev_train_237,Yes
Q3-2,seedev_train_237,Yes
Q3-3,seedev_train_237,Yes
Q3-4,seedev_train_237,Yes
Q3-5,seedev_train_237,Yes
Q4-1,seedev_train_799,Yes
Q4-2,seedev_train_799,No
Q4-3,seedev_train_799,No
Q4-4,seedev_train_799,No
Q4-5,seedev_train_799,No
Q5-1,seedev_dev_176,No
Q5-2,seedev_dev_176,Yes
Q5-3,seedev_dev_176,Yes
Q5-4,seedev_dev_176,Yes
Q5-5,seedev_dev_176,Yes
