seq_no,qid,correct
Q1-1,seedev_train_527,No
Q1-2,seedev_train_527,No
Q1-3,seedev_train_527,No
Q1-4,seedev_train_527,Yes
Q1-5,seedev_train_527,No
Q2-1,seedev_train_511,No
Q2-2,seedev_train_511,No
Q2-3,seedev_train_511,No
Q2-4,seedev_train_511,No
Q2-5,seedev_train_511,No
Q3-1,seedev_train_526,Yes
Q3-2,seedev_train_526,No
Q3-3,seedev_train_526,Yes
Q3-4,seedev_train_526,No
Q3-5,seedev_train_526,No
Q4-1,seedev_train_399,No
Q4-2,seedev_train_399,No
Q4-3,seedev_train_399,No
Q4-4,seedev_train_399,No
Q4-5,seedev_train_399,No
Q5-1,seedev_train_509,No
Q5-2,seedev_train_509,No
Q5-3,seedev_train_509,No
Q5-4,seedev_train_509,No
Q5-5,seedev_train_509,Yes
