seq_no,qid,correct
Q1-1,agac_task3_96,No
Q1-2,agac_task3_96,No
Q1-3,agac_task3_96,No
Q1-4,agac_task3_96,No
Q1-5,agac_task3_96,No
Q2-1,agac_task3_98,No
Q2-2,agac_task3_98,No
Q2-3,agac_task3_98,No
Q2-4,agac_task3_98,Yes
Q2-5,agac_task3_98,No
Q3-1,agac_task3_3,Yes
Q3-2,agac_task3_3,Yes
Q3-3,agac_task3_3,Yes
Q3-4,agac_task3_3,Yes
Q3-5,agac_task3_3,Yes
Q4-1,agac_task3_73,No
Q4-2,agac_task3_73,No
Q4-3,agac_task3_73,Yes
Q4-4,agac_task3_73,No
Q4-5,agac_task3_73,No
Q5-1,agac_task3_114,Yes
Q5-2,agac_task3_114,Yes
Q5-3,agac_task3_114,Yes
Q5-4,agac_task3_114,No
Q5-5,agac_task3_114,No
