seq_no,qid,correct
Q1-1,agac_task3_136,No
Q1-2,agac_task3_136,Yes
Q1-3,agac_task3_136,Yes
Q1-4,agac_task3_136,Yes
Q1-5,agac_task3_136,Yes
Q2-1,agac_task3_146,Yes
Q2-2,agac_task3_146,No
Q2-3,agac_task3_146,Yes
Q2-4,agac_task3_146,Yes
Q2-5,agac_task3_146,Yes
Q3-1,agac_task3_42,Yes
Q3-2,agac_task3_42,Yes
Q3-3,agac_task3_42,Yes
Q3-4,agac_task3_42,Yes
Q3-5,agac_task3_42,Yes
Q4-1,agac_task3_88,No
Q4-2,agac_task3_88,Yes
Q4-3,agac_task3_88,Yes
Q4-4,agac_task3_88,No
Q4-5,agac_task3_88,No
Q5-1,agac_task3_157,Yes
Q5-2,agac_task3_157,Yes
Q5-3,agac_task3_157,Yes
Q5-4,agac_task3_157,No
Q5-5,agac_task3_157,Yes
